measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1990,63940.62949,179643.054,-5967.569663
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1990,99773.03358,274510.1922,-9007.796934
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1990,163713.6631,452044.0548,-14975.3666
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1990,0.23249444,0.454140323,-0.021691617
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1990,0.262053891,0.503822285,-0.024635037
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1990,0.249666108,0.483025107,-0.023398379
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1990,59.39420532,166.8697434,-5.543252555
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1990,95.09728312,261.6455823,-8.585656711
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1990,77.01582216,212.6550948,-7.044862042
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1991,65197.48173,182209.0026,-6093.11229
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1991,101754.5432,280460.6896,-9217.573668
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1991,166952.025,461520.3327,-15310.68596
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1991,0.234935691,0.457289391,-0.021939433
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1991,0.264600195,0.508537418,-0.024970616
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1991,0.25217676,0.487014737,-0.02369825
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1991,59.91450435,167.444536,-5.599385025
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1991,95.93744349,264.4273239,-8.690623778
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1991,77.69512365,214.7795411,-7.125194432
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1992,66214.99706,185075.5504,-6207.772467
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1992,103415.1465,285128.2435,-9440.477742
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1992,169630.1435,469312.5517,-15648.25021
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1992,0.23710504,0.460741187,-0.022207687
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1992,0.266815689,0.510712419,-0.025313318
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1992,0.254384581,0.490324907,-0.02401476
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1992,60.45470966,168.975144,-5.667735389
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1992,96.85041806,267.0284821,-8.841202156
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1992,78.42120184,216.9664753,-7.234295524
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1993,67136.15887,186910.7654,-6300.186178
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1993,104939.3534,289610.8202,-9543.817427
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1993,172075.5123,476257.4539,-15844.0036
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1993,0.239216644,0.464377202,-0.022330336
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1993,0.268766009,0.512650599,-0.025552741
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1993,0.256417172,0.493662627,-0.024207448
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1993,60.99245038,169.8063425,-5.723648765
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1993,97.92028347,270.2396451,-8.905460894
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1993,79.20948396,219.229957,-7.293282658
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1994,68013.8697,189738.9389,-6377.334765
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1994,106585.4566,294668.3311,-9781.358523
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1994,174599.3263,483257.1616,-16158.69329
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1994,0.24144432,0.46755297,-0.022556974
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1994,0.270450768,0.515236875,-0.025806635
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1994,0.258369676,0.496401569,-0.024454935
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1994,61.552181,171.7127045,-5.771453168
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1994,99.01006002,273.7252349,-9.086163582
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1994,80.03671468,221.5261443,-7.407180494
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1995,68901.77782,192038.2312,-6458.816343
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1995,107992.8468,298605.1805,-10034.91643
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1995,176894.6246,490138.3453,-16493.73277
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1995,0.243810545,0.470552098,-0.022804763
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1995,0.272432761,0.518576707,-0.025954499
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1995,0.260529074,0.500084361,-0.024648763
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1995,62.15084925,173.2225137,-5.825987857
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1995,100.0811139,276.7288757,-9.299742008
